request_number,department1,opened_date,request_closed,request_state,task_number,department2,task_status,task_closed,approval_status,complexity_risk
SR_Req_0919207,Procurement Operations Team,22/02/2023,23/02/2023,Closed Incomplete,SubTask_0217054,OH&S Team,Closed Complete,6/05/2024,Approved,High Risk
SR_Req_0919207,Procurement Operations Team,22/02/2023,23/02/2023,Closed Incomplete,SubTask_0217055,Procurement Operations Team,Closed Complete,23/02/2023,Not Yet Requested,High Risk
SR_Req_0919743,Finance Operations Team,22/02/2023,24/03/2023,Closed Complete,SubTask_0217061,OH&S Team,Closed Complete,24/03/2023,Rejected,High Risk
SR_Req_0919743,Finance Operations Team,22/02/2023,24/03/2023,Closed Complete,SubTask_0217062,Procurement Operations Team,Closed Complete,24/02/2023,Not Yet Requested,High Risk
SR_Req_0920062,Finance Operations Team,23/02/2023,9/03/2023,Closed Complete,SubTask_0217182,Procurement Operations Team,Closed Complete,24/02/2023,Not Yet Requested,Medium Risk
SR_Req_0920227,Finance Operations Team,23/02/2023,14/04/2023,Closed Complete,SubTask_0217207,OH&S Team,Closed Complete,6/04/2023,Rejected,Medium Risk
SR_Req_0920470,Procurement Operations Team,23/02/2023,24/02/2023,Closed Incomplete,SubTask_0217244,OH&S Team,Closed Complete,6/05/2024,Rejected,High Risk
SR_Req_0920470,Procurement Operations Team,23/02/2023,24/02/2023,Closed Incomplete,SubTask_0217245,Procurement Operations Team,Closed Complete,24/02/2023,Not Yet Requested,High Risk
SR_Req_0920471,Finance Operations Team,23/02/2023,2/03/2023,Closed Complete,SubTask_0217246,Procurement Operations Team,Closed Complete,24/02/2023,Not Yet Requested,Medium Risk
SR_Req_0920472,Finance Operations Team,23/02/2023,3/04/2023,Closed Complete,SubTask_0217247,OH&S Team,Closed Complete,30/03/2023,Rejected,Medium Risk
SR_Req_0921312,Finance Operations Team,24/02/2023,8/03/2023,Closed Complete,SubTask_0217403,Procurement Operations Team,Closed Complete,27/02/2023,Not Yet Requested,Medium Risk
SR_Req_0920062,Finance Operations Team,23/02/2023,9/03/2023,Closed Complete,SubTask_0217547,Procurement Operations Team,Closed Complete,7/03/2023,Not Yet Requested,Medium Risk
SR_Req_0919743,Finance Operations Team,22/02/2023,24/03/2023,Closed Complete,SubTask_0217551,Procurement Operations Team,Closed Complete,9/03/2023,Not Yet Requested,High Risk
SR_Req_0920471,Finance Operations Team,23/02/2023,2/03/2023,Closed Complete,SubTask_0217555,Procurement Operations Team,Closed Complete,27/02/2023,Not Yet Requested,Medium Risk
SR_Req_0923063,Finance Operations Team,27/02/2023,8/03/2023,Closed Complete,SubTask_0217670,Procurement Operations Team,Closed Complete,27/02/2023,Not Yet Requested,Medium Risk
SR_Req_0923281,Finance Operations Team,28/02/2023,16/03/2023,Closed Complete,SubTask_0217691,Procurement Operations Team,Closed Complete,28/02/2023,Not Yet Requested,Medium Risk
SR_Req_0923438,Finance Operations Team,28/02/2023,2/03/2023,Closed Complete,SubTask_0217716,Procurement Operations Team,Closed Complete,28/02/2023,Not Yet Requested,Medium Risk
SR_Req_0924056,Finance Operations Team,28/02/2023,3/03/2023,Closed Complete,SubTask_0217811,Procurement Operations Team,Closed Complete,1/03/2023,Not Yet Requested,Medium Risk
SR_Req_0924289,Procurement Operations Team,1/03/2023,25/05/2023,Closed Incomplete,SubTask_0217915,OH&S Team,Closed Complete,6/05/2024,Rejected,Medium Risk
SR_Req_0924620,Finance Operations Team,1/03/2023,1/05/2023,Closed Complete,SubTask_0217998,OH&S Team,Closed Complete,6/04/2023,Rejected,High Risk
SR_Req_0924620,Finance Operations Team,1/03/2023,1/05/2023,Closed Complete,SubTask_0217999,Procurement Operations Team,Closed Complete,1/03/2023,Not Yet Requested,High Risk
SR_Req_0924641,Procurement Operations Team,1/03/2023,2/03/2023,Closed Incomplete,SubTask_0218001,OH&S Team,Closed Complete,6/05/2024,Rejected,Medium Risk
SR_Req_0924741,Finance Operations Team,1/03/2023,28/03/2023,Closed Complete,SubTask_0218014,Procurement Operations Team,Closed Complete,1/03/2023,Not Yet Requested,Medium Risk
SR_Req_0925050,Finance Operations Team,2/03/2023,9/03/2023,Closed Complete,SubTask_0218060,Procurement Operations Team,Closed Complete,2/03/2023,Not Yet Requested,Medium Risk
