sys_created_on,closed_at,quantity,csr_triggered,ohs_triggered,sub_task,SubTask_Number,business_duration,state,sys_updated_on,opened_at,assignment_group,number,Working_Turn_Around_Days
17/02/2023,15/08/2023,1,FALSE,FALSE,Require Neither,,179.0388889,Closed Incomplete,15/08/2023,17/02/2023,Procurement Operations Team,SR_Req_0916399,122
20/02/2023,21/02/2023,1,FALSE,FALSE,Require Neither,,0.0125,Closed Complete,21/02/2023,20/02/2023,Procurement Operations Team,SR_Req_0916643,2
20/02/2023,27/02/2023,1,FALSE,FALSE,Require Neither,,7.177777778,Closed Complete,27/02/2023,20/02/2023,Procurement Operations Team,SR_Req_0916661,6
20/02/2023,23/02/2023,1,FALSE,FALSE,Require Neither,,3.280555556,Closed Complete,23/02/2023,20/02/2023,Procurement Operations Team,SR_Req_0916781,4
20/02/2023,21/02/2023,1,FALSE,FALSE,Require Neither,,0.985416667,Closed Complete,21/02/2023,20/02/2023,Procurement Operations Team,SR_Req_0916916,2
20/02/2023,23/02/2023,1,FALSE,FALSE,Require Neither,,3.341666667,Closed Complete,23/02/2023,20/02/2023,Procurement Operations Team,SR_Req_0916924,4
20/02/2023,21/02/2023,1,FALSE,FALSE,Require Neither,,0.940972222,Closed Complete,21/02/2023,20/02/2023,Procurement Operations Team,SR_Req_0916967,2
20/02/2023,3/03/2023,1,FALSE,FALSE,Require Neither,,11.30208333,Closed Complete,3/03/2023,20/02/2023,Procurement Operations Team,SR_Req_0916984,10
20/02/2023,15/08/2023,1,FALSE,FALSE,Require Neither,,176.1402778,Closed Incomplete,15/08/2023,20/02/2023,Procurement Operations Team,SR_Req_0917058,121
20/02/2023,21/02/2023,1,FALSE,FALSE,Require Neither,,0.880555556,Closed Complete,21/02/2023,20/02/2023,Procurement Operations Team,SR_Req_0917215,2
20/02/2023,23/02/2023,1,FALSE,FALSE,Require Neither,,2.954166667,Closed Complete,23/02/2023,20/02/2023,Procurement Operations Team,SR_Req_0917382,4
21/02/2023,23/02/2023,1,FALSE,FALSE,Require Neither,,2.025694444,Closed Complete,23/02/2023,21/02/2023,Procurement Operations Team,SR_Req_0917926,3
21/02/2023,15/08/2023,1,FALSE,FALSE,Require Neither,,175.0333333,Closed Incomplete,15/08/2023,21/02/2023,Procurement Operations Team,SR_Req_0917985,120
21/02/2023,22/02/2023,1,FALSE,FALSE,Require Neither,,0.819444444,Closed Complete,22/02/2023,21/02/2023,Procurement Operations Team,SR_Req_0918484,2
22/02/2023,23/02/2023,1,FALSE,FALSE,Require Neither,,0.505555556,Closed Complete,23/02/2023,22/02/2023,Procurement Operations Team,SR_Req_0918522,2
22/02/2023,27/02/2023,1,FALSE,FALSE,Require Neither,,5.11875,Closed Complete,27/02/2023,22/02/2023,Procurement Operations Team,SR_Req_0918714,4
22/02/2023,24/02/2023,1,FALSE,FALSE,Require Neither,,0.994444444,Closed Incomplete,24/02/2023,22/02/2023,Procurement Operations Team,SR_Req_0919058,3
22/02/2023,3/03/2023,1,FALSE,FALSE,Require Neither,,9.165277778,Closed Complete,3/03/2023,22/02/2023,Procurement Operations Team,SR_Req_0919102,8
22/02/2023,22/05/2023,1,FALSE,FALSE,Require Neither,,88.88541667,Closed Incomplete,22/05/2023,22/02/2023,Finance Operations Team,SR_Req_0919126,59
