Number,Request_type,Sector
SR_Req_0916399,DOMESTIC REQUEST,Leasing and Real Estate
SR_Req_0916643,DOMESTIC REQUEST,Office Supplies
SR_Req_0916661,DOMESTIC REQUEST,"IT Hardware (client computing, mobiles and printers)"
SR_Req_0916781,INTERNATIONAL REQUEST,Lab supplies and industrial gas
SR_Req_0916916,INTERNATIONAL REQUEST,"IT Hardware (client computing, mobiles and printers), IT Software"
SR_Req_0916924,DOMESTIC REQUEST,Consumables
SR_Req_0916967,INTERNATIONAL REQUEST,Professional Services
SR_Req_0916984,DOMESTIC REQUEST,Professional Services
SR_Req_0917058,DOMESTIC REQUEST,Cleaning Services & Consumables
SR_Req_0917215,INTERNATIONAL REQUEST,IT Software
SR_Req_0917382,DOMESTIC REQUEST,Consultancy Services
SR_Req_0917926,DOMESTIC REQUEST,Other
SR_Req_0917985,DOMESTIC REQUEST,"IT Hardware (client computing, mobiles and printers), Building Infrastructure and Construction"
SR_Req_0918484,DOMESTIC REQUEST,Consultancy Services
SR_Req_0918522,DOMESTIC REQUEST,"Events Management (excl. catering), Other, Travel"
SR_Req_0918714,DOMESTIC REQUEST,Office Supplies
SR_Req_0919058,DOMESTIC REQUEST,Building Infrastructure and Construction
SR_Req_0919102,DOMESTIC REQUEST,Labour Hire and Recruitment Services
SR_Req_0919126,DOMESTIC REQUEST,Lab supplies and industrial gas
SR_Req_0919207,DOMESTIC REQUEST,"Building Infrastructure and Construction, IT Hardware (client computing, mobiles and printers), Office Supplies"
SR_Req_0919743,DOMESTIC REQUEST,"  IT Managed Services, Call Centre Services, Consultancy Services, IT Hardware (client computing, mobiles and printers), IT Security Services, IT Software, Labour Hire and Recruitment Services, Managed Services, Professional Services, Subscriptions"
SR_Req_0920062,DOMESTIC REQUEST,Travel
SR_Req_0920227,DOMESTIC REQUEST,Events Management (excl. catering)
SR_Req_0920470,DOMESTIC REQUEST,Building Infrastructure and Construction
SR_Req_0920471,DOMESTIC REQUEST,Labour Hire and Recruitment Services
SR_Req_0920472,DOMESTIC REQUEST,Professional Services
SR_Req_0921312,DOMESTIC REQUEST,Other
SR_Req_0922624,DOMESTIC REQUEST,Consultancy Services
SR_Req_0923063,DOMESTIC REQUEST,Other
SR_Req_0923281,DOMESTIC WIL REQUEST,Other
SR_Req_0923438,DOMESTIC REQUEST,Other
SR_Req_0924056,DOMESTIC RESEARCH REQUEST,Other
SR_Req_0924075,INTERNATIONAL REQUEST,Professional Services
SR_Req_0924289,DOMESTIC REQUEST,Maintenance Services
SR_Req_0924297,DOMESTIC REQUEST,Membership and Associations
SR_Req_0924542,DOMESTIC REQUEST,Consultancy Services
SR_Req_0924620,DOMESTIC REQUEST,Building Infrastructure and Construction
SR_Req_0924641,DOMESTIC REQUEST,Maintenance Services
SR_Req_0924721,DOMESTIC REQUEST,Events Management (excl. catering)
SR_Req_0924741,DOMESTIC RESEARCH REQUEST,Other
SR_Req_0925050,DOMESTIC REQUEST,Other
SR_Req_0925247,DOMESTIC REQUEST,Professional Services
SR_Req_0925331,DOMESTIC REQUEST,Lab supplies and industrial gas
