sys_created_on,opened_at,closed_at,Assigned to,assignment_group,business_duration,Closed_by,number,Opened_by,Request,state,sys_updated_on,approval,Working_Turn_Around_Days
22/02/2023,22/02/2023,6/05/2024,HR Officer #7,OH&S Team,3056.883333,HR Officer #7,SubTask_0217054,,SR_Req_0919207,Closed Complete,6/05/2024,Approved,302
22/02/2023,22/02/2023,23/02/2023,Procurement Specialist #7,Procurement Operations Team,6.916666667,Procurement Specialist #7,SubTask_0217055,,SR_Req_0919207,Closed Complete,23/02/2023,Not Yet Requested,2
22/02/2023,22/02/2023,24/03/2023,HR Officer #1,OH&S Team,174.8,Procurement Specialist #4,SubTask_0217061,,SR_Req_0919743,Closed Complete,24/03/2023,Rejected,22
22/02/2023,22/02/2023,24/02/2023,Procurement Specialist #4,Procurement Operations Team,16,Procurement Specialist #4,SubTask_0217062,,SR_Req_0919743,Closed Complete,24/02/2023,Not Yet Requested,3
23/02/2023,23/02/2023,24/02/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0217182,,SR_Req_0920062,Closed Complete,24/02/2023,Not Yet Requested,2
23/02/2023,23/02/2023,6/04/2023,HR Officer #1,OH&S Team,240,Procurement Specialist #4,SubTask_0217207,,SR_Req_0920227,Closed Complete,6/04/2023,Rejected,30
23/02/2023,23/02/2023,6/05/2024,HR Officer #7,OH&S Team,3046.866667,HR Officer #7,SubTask_0217244,,SR_Req_0920470,Closed Complete,6/05/2024,Rejected,301
23/02/2023,23/02/2023,24/02/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0217245,,SR_Req_0920470,Closed Complete,24/02/2023,Not Yet Requested,2
23/02/2023,23/02/2023,24/02/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0217246,,SR_Req_0920471,Closed Complete,24/02/2023,Not Yet Requested,2
23/02/2023,23/02/2023,30/03/2023,HR Officer #1,OH&S Team,200,Procurement Specialist #4,SubTask_0217247,,SR_Req_0920472,Closed Complete,30/03/2023,Rejected,25
24/02/2023,24/02/2023,27/02/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0217403,,SR_Req_0921312,Closed Complete,27/02/2023,Not Yet Requested,2
27/02/2023,27/02/2023,7/03/2023,Procurement Specialist #4,Procurement Operations Team,48,Procurement Specialist #4,SubTask_0217547,Procurement Specialist #4,SR_Req_0920062,Closed Complete,7/03/2023,Not Yet Requested,7
27/02/2023,27/02/2023,9/03/2023,Procurement Specialist #4,Procurement Operations Team,64,Category Manager #5,SubTask_0217551,Procurement Specialist #4,SR_Req_0919743,Closed Complete,10/03/2023,Not Yet Requested,9
27/02/2023,27/02/2023,27/02/2023,Procurement Specialist #4,Procurement Operations Team,0,Procurement Specialist #4,SubTask_0217555,Procurement Specialist #4,SR_Req_0920471,Closed Complete,27/02/2023,Not Yet Requested,1
27/02/2023,27/02/2023,27/02/2023,Procurement Specialist #4,Procurement Operations Team,0,Procurement Specialist #4,SubTask_0217670,,SR_Req_0923063,Closed Complete,27/02/2023,Not Yet Requested,1
28/02/2023,28/02/2023,28/02/2023,Procurement Specialist #4,Procurement Operations Team,2.133333333,Procurement Specialist #4,SubTask_0217691,,SR_Req_0923281,Closed Complete,28/02/2023,Not Yet Requested,1
28/02/2023,28/02/2023,28/02/2023,Procurement Specialist #4,Procurement Operations Team,0.216666667,Procurement Specialist #4,SubTask_0217716,,SR_Req_0923438,Closed Complete,28/02/2023,Not Yet Requested,1
28/02/2023,28/02/2023,1/03/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0217811,,SR_Req_0924056,Closed Complete,1/03/2023,Not Yet Requested,2
1/03/2023,1/03/2023,6/05/2024,HR Officer #7,OH&S Team,3014.466667,HR Officer #7,SubTask_0217915,,SR_Req_0924289,Closed Complete,6/05/2024,Rejected,297
1/03/2023,1/03/2023,6/04/2023,HR Officer #6,OH&S Team,208,Procurement Specialist #4,SubTask_0217998,,SR_Req_0924620,Closed Complete,6/04/2023,Rejected,26
1/03/2023,1/03/2023,1/03/2023,Procurement Specialist #4,Procurement Operations Team,0,Procurement Specialist #4,SubTask_0217999,,SR_Req_0924620,Closed Complete,1/03/2023,Not Yet Requested,1
1/03/2023,1/03/2023,6/05/2024,HR Officer #7,OH&S Team,3010.466667,HR Officer #7,SubTask_0218001,,SR_Req_0924641,Closed Complete,6/05/2024,Rejected,297
1/03/2023,1/03/2023,1/03/2023,Procurement Specialist #4,Procurement Operations Team,0,Procurement Specialist #4,SubTask_0218014,,SR_Req_0924741,Closed Complete,1/03/2023,Not Yet Requested,1
2/03/2023,2/03/2023,2/03/2023,Procurement Specialist #4,Procurement Operations Team,2.233333333,Procurement Specialist #4,SubTask_0218060,,SR_Req_0925050,Closed Complete,2/03/2023,Not Yet Requested,1
2/03/2023,2/03/2023,6/05/2024,HR Officer #7,OH&S Team,3003.533333,HR Officer #7,SubTask_0218117,,SR_Req_0925247,Closed Complete,6/05/2024,Approved,296
2/03/2023,2/03/2023,24/03/2023,HR Officer #1,OH&S Team,126.95,Procurement Specialist #4,SubTask_0218155,,SR_Req_0925331,Closed Complete,24/03/2023,Approved,16
